GeneName,0a,0b,2a,2b,8a,8b,16a,16b
Csnk1e,20803.401,17922.9595,17818.3785,19318.9245,26768.602,24663.1225,32640.10945,35419.62715
Csnk2b,6057.464,5895.504,7548.204,8592.311,9249.051,9271.406,11591.0766,11727.129
Ctnnb1,5658.128,6784.748,4885.439,6407.476,12453.477,10745.708,12117.69875,12794.7031
Ctps1,28236.01,30921.94667,27436.20667,28600.99667,46785.31733,41295.15667,54243.5423,55435.71967
Dars,14102.36,14516.23,12625.31,13047.15,17184.82,17225.09,20147.0433,20280.6367
Dctpp1,8600.698,9095.542,8807.717,8895.925,8697.525,8661.752,12826.7885,13326.189
Ddx10,23981.75933,24493.645,16384.323,20408.38433,28236.78633,25658.57733,38869.74773,35612.6318
Ddx21,8366.396273,8154.468455,6192.685273,9728.436909,9516.659273,9729.402,28683.87082,28564.1439
Ddx24,5926.344667,5075.736333,4970.624,6419.996,6227.404667,6507.406333,13624.22563,13876.0789
Ddx54,6137.975333,5855.455,6379.495,6458.429333,6324.867667,6993.018333,16239.32287,14937.63623
Dhx9,5698.295,5683.703,5493.4975,5180.3715,7509.607,6911.4245,7108.5754,7060.2054
Diaph3,6141.916,6169.09,6620.434,5841.45,6589.417,5855.271,9186.1135,9305.1695
Dkc1,33988.01806,32632.8715,32784.56144,33070.47667,38573.67511,38341.59333,45446.85541,43342.27567
Dnajc2,6717.652429,6565.326429,6397.301,9473.727286,10696.73857,10594.50343,19172.9108,19102.3387
Dnajc21,7935.528,8590.959,7508.8,8778.149,11527.385,10730.07,16726.8267,18665.0296
Dnttip2,9504.858667,9020.517667,7105.364,9428.353,11229.17867,10996.79217,16329.13595,16273.86992
Dot1l,8893.151267,8601.3752,8069.1224,8217.828533,11970.1554,11094.91687,12297.07306,12590.84175
E2f6,7119.107,6818.066,7722.242,7076.601,8951.301,8227.061,12906.3703,15111.6819
Ece2,13480.757,13330.422,15345.569,15631.0185,20002.5225,19277.2225,22944.39235,24867.9827
Eef1d,17889.33113,18733.39125,18116.07806,18184.71138,19910.00063,19579.06281,25258.39018,25772.08136
Eef1g,1182.045,1094.695,859.6838,1355.967,1803.127,1354.503,4181.4967,4720.7838
Eif4ebp1,53937.2739,54587.6484,58656.7948,61032.6226,62998.5661,59951.1935,68866.32162,71010.80278
Eif5b,28689.90435,29676.14978,22673.38339,29768.78139,43575.46343,41566.81365,47074.19493,49052.61236
Ell2,21763.05,19938.02,15165.68,22816.79,45108.067,40647.45,50299.919,51477.9513
Elmo1,23211.961,22892.2368,18634.7782,19353.5096,25442.5872,23033.454,29270.77928,30800.68234
Eomes,14788.0068,14710.0656,15384.268,16321.2548,14057.5028,14674.2338,24604.30572,24032.1645
Esf1,36537.50333,34544.53333,34947.37,31176.61667,54718.68767,50879.82667,69396.25603,70449.9679
Etv6,5787.137,5926.6582,5997.996,5453.51474,5980.9174,6215.6472,8990.18316,9663.16278
Fam179b,14850.92,14640.18,13810.517,13671.705,20226.4725,18779.915,20400.0324,21536.31065
Farsa,6250.5425,6110.8955,7073.696,5996.832,16685.565,12960.388,20175.75715,23745.33675
Fosl2,10589.24336,10724.99983,10801.21256,11863.98461,18070.15183,16420.27656,16458.49097,15958.46464
Foxk2,47303.87,50220.575,47615.785,49651.415,70063.46,64557.21,85683.0081,81405.7738
Fxr1,4411.73575,4788.7885,4846.786,4670.29375,5155.5435,4646.9105,7499.126425,7626.72645
Fxr2,5661.122833,5301.489167,5554.362,4874.472517,7449.262167,7092.431167,9283.014683,9385.004317
Fyttd1,5487.094,3623.88,5724.475,8883.073,7473.59,6184.498,19267.9419,19048.7188
G3bp1,51149.64533,57130.265,50223.533,56520.88333,70935.37333,68986.247,91912.61103,96757.2901
G3bp2,8510.648,8285.80725,8175.435,8068.72825,9747.83825,9267.914,11740.18415,11173.5275
Gfi1,7847.42225,7502.65,6252.00925,8260.991,14263.468,13535.579,17212.08055,19314.15775
Gng12,3889.744333,4097.516667,7277.385667,7067.674333,14037.36767,12140.20133,11987.93387,13189.71137
Gnl3,21324.75943,21146.62671,15672.66543,17611.69986,20140.38014,19853.84429,31046.6189,31636.8258
Gpatch4,6036.424,6406.385,6639.108,6307.031333,7753.8,7491.771333,11172.7316,12642.74987
Gphn,12040.52,13023.77,12583.23,12919.89,14922.84,14460.38,21308.8416,23050.5188
Gpr171,14397.3485,14739.5885,16265.865,15296.395,25345.4605,25336.29,21549.7112,21227.4796
Gramd1b,10319.07936,9909.339909,10317.30055,10099.51191,24140.073,23712.17445,36439.85013,36196.30725
Hdac2,44555.87571,44695.74857,45257.32,45402.06714,46347.17571,46660.23,51923.88943,50362.71511
Hdac7,26083.1465,26367.69017,26485.5815,27155.50317,28872.83533,27905.23483,37824.8887,38398.64508
Hectd1,16456.5005,17449.613,18052.17467,17951.30833,19438.21183,19572.51017,23143.61733,24223.9415
Hsp90aa1,185753.6669,190826.2522,199728.0162,186606.5417,207170.3561,207082.3552,242277.7674,255488.2933
Hspe1,3314.729,3235.408,3490.645,3631.491,4856.81,5243.251,7866.6159,7725.4125
Hsph1,85699.61836,84560.27818,103463.8897,87473.97909,127758.5251,108976.2952,161894.4542,157874.4473
Hypk,1754.657,1248.256,4407.335,3756.425,6420.258,6004.964,11737.0774,11962.2296
Ice1,11852.96183,11025.12483,12122.944,12696.39617,16631.6215,15925.73667,20658.92273,21166.61582
Jak2,10208.18,9874.068,9393.016,9275.223,14029.047,13645.61,16551.8644,17800.7503
Knop1,72957.705,72975.705,72177.685,71567.805,83616.2315,82499.07,99249.7329,98984.46205
