GeneName,0h.a,0h.b,2h.a,2h.b,8h.a,8h.b,16h.a,16h.b
Plekhn1,14.17978559,14.09010941,14.70483048,14.38516911,14.3917999,14.47573965,14.12587601,14.10944792
Wdr75,13.50678107,13.67312551,14.11327011,13.97011572,13.91797199,13.84978073,13.35074077,13.33881847
Ppp6r2,13.14444738,13.31887689,14.19775419,14.03681041,14.14345599,13.97510165,13.59959268,13.57331664
Elf4,14.98385903,14.48545677,15.57583258,14.93420819,14.79533251,14.94756003,14.0682245,14.13422082
Gdf7,12.96554067,12.37940362,13.08167229,12.94520864,12.30180834,12.45965274,12.22819087,11.90704805
Rab8a,14.87260749,14.90540014,15.06722436,14.89134916,14.84646498,14.90081298,14.6269197,14.64666864
Paip1,16.75679374,16.78935715,16.43825963,16.48354016,14.72427852,15.23019844,14.40009767,14.286321
Zc3h4,14.00351825,13.99949926,14.54992638,14.3162401,14.30864905,14.27902936,14.02561523,13.93601106
Mdm1,14.72640989,14.85301704,14.98505533,14.82604355,14.73073846,14.78511246,14.51379288,14.50729356
Sfr1,13.87493847,13.82115745,14.31040663,14.45770367,13.61610034,13.5048243,13.43041979,13.3648371
Ppp1r18,16.27648274,16.02456306,17.06487644,16.94035346,16.70962919,16.57300531,16.02456306,16.1449713
Dars,15.36402948,15.41474085,15.77132105,15.51100043,15.37591118,15.38679946,15.39294125,15.3996278
Sik2,14.34136882,14.23597709,14.78015176,14.94756003,14.56373,14.35402592,14.22438864,14.35950071
Vipr1,14.6832808,14.57286105,14.69683368,14.62339457,14.55633826,14.42895672,14.24906021,14.3079054
Toe1,14.22480269,14.24383021,14.46259176,14.25676238,14.33795127,14.3144387,14.07419757,14.0682245
Gsdmdc1,14.84646498,14.88840156,16.04726935,16.42503513,16.4172425,16.37260286,15.48224029,15.6069217
Baiap2,12.90254543,13.22371416,13.31436058,13.16580171,12.94275742,12.86220476,11.92051721,12.30010888
Mrgbp,12.78710021,12.76728798,13.55996868,13.88020064,13.00155331,13.18000418,12.73657306,12.6722568
Prkca,16.60587473,16.52505029,16.8496248,16.55736785,16.47459477,16.50449235,16.21724221,16.26493179
Knop1,12.23990221,12.48173605,12.60569418,12.31495084,12.51873471,12.32423454,12.25775453,11.94663903
Ncbp1,15.16001571,15.20957231,15.22089133,15.15622522,14.9447638,15.00664186,14.65518285,14.65148438
Prrc2a,14.58054008,14.49408881,14.90717072,15.08195423,14.89693872,14.87340966,14.44980813,14.55633826
Srsf9,16.55736785,16.4982212,16.70962919,16.40034877,16.42503513,16.47459477,16.31233859,16.40698936
Pde2a,13.49251785,13.52941655,14.84917086,14.60848106,14.08645798,13.904369,13.5048243,13.65245657
TMEM229B,15.7621099,15.8986614,16.60587473,16.48927019,16.34194166,16.22140866,15.84440859,15.91796715
Mief1,14.91002779,14.83033981,15.01605316,15.01485653,14.91604509,14.88458245,14.14072377,14.38091501
Cers4,17.51732695,17.54911322,18.23127658,18.12238069,18.03389528,17.97054163,17.62102251,17.67541013
Hdac7,12.70509257,12.7145979,13.63643755,13.55909393,13.43718701,13.43408332,12.68147373,12.61140285
Pcyt1a,14.29600279,14.28079555,14.38865407,14.3462393,14.13845183,14.11070304,14.20262972,14.09901163
Zc3h14,15.70332855,15.63244474,15.5347416,15.52138604,15.54047093,15.60474684,15.52887838,15.51310126
Satb1,13.76649298,13.7608096,14.23494217,14.11536104,13.97338176,13.94086507,13.5420155,13.69958318
Clip1,13.70747793,13.25799319,14.00676942,13.99299514,13.95056252,13.99480683,13.28816781,13.32036302
Cad,15.95753494,16.12960198,17.22708749,17.12577452,16.88173239,16.80556832,16.36690856,16.5099389
Zbed6,16.9515535,16.94035346,16.66330043,16.70962919,16.94035346,16.9609123,17.02416233,16.91666087
Cry2,15.07237134,15.11013523,14.89134916,14.83737777,14.74872159,14.85441651,14.71315294,14.73073846
Rps6ka3,12.75229745,12.70947715,12.930131,12.88704501,12.62767872,12.59805131,12.66856019,12.6763281
Wdr59,14.79645976,14.6699493,15.24312425,15.07787137,15.01874898,14.97213873,14.45190277,14.7973998
Ctnnb1,13.14023945,13.10872886,14.55124229,14.44645139,13.99613719,13.88519629,13.18858032,13.23486789
Vprbp,14.0661505,13.91868985,13.87662969,13.65510919,13.66565102,13.55909393,12.80593193,12.85020411
Atxn2l,15.52138604,15.50393272,15.4885782,15.5540887,15.45683901,15.49838699,15.56663472,15.49207038
Pydc3,12.81401098,12.23990221,14.02561523,13.83979957,14.18583149,14.13657672,13.1999111,13.36921013
Mllt1,14.09058266,14.14888377,14.54886553,14.43314525,14.31215444,14.26337331,14.09058266,14.02716755
Fyttd1,14.63935644,14.36171048,14.43904693,14.46417203,14.6161921,14.41468338,14.2579273,14.30935132
Ubap2l,15.50393272,15.50813733,15.23019844,15.38428026,15.4073407,15.48054918,15.47304018,15.42448365
Junb,14.14209376,14.11070304,14.08089703,14.12262784,14.07948859,13.9676882,13.68414008,13.53758204
Uggt1,14.45918528,14.40309417,14.7021363,14.71767593,14.51891677,14.35609641,14.14345599,14.31686472
Shkbp1,15.12868184,15.14745782,15.45328394,15.39714371,14.75816458,14.82431684,14.77513322,14.85441651
Maf1,13.81451172,13.70315274,14.76811255,14.54140295,14.08089703,13.97581819,13.75411419,13.88020064
Dnm1l,14.72811519,14.78750282,14.60143784,14.71968848,14.53485212,14.60143784,14.47355626,14.47688523
Kpna2,15.24312425,15.27149957,15.2541562,15.20018775,15.20583613,15.20957231,15.07237134,15.04288926
Pard6a,14.41561918,14.46815754,14.74425581,14.60458767,14.32498627,14.26545281,14.15402049,14.15908041
Arpc1b,13.59776428,13.57534941,14.02137455,13.97258907,14.14615645,13.95056252,13.70930594,13.72360121
Foxo4,14.53622799,14.63358081,14.36879443,14.32838538,14.11834743,14.21947159,13.99086892,13.96851775
Itpr3,12.19578927,12.23360456,12.5943599,12.62635676,12.89915939,12.52247911,12.45513813,12.62500926
Zdhhc20,14.90287743,14.93286239,15.03840907,14.87340966,14.87625127,14.8999098,14.78128748,14.76459257
Cnp,15.7776374,15.84440859,15.69498713,15.8986614,15.63885146,15.66105453,15.34334757,15.40229078
Ppm1h,14.61458043,14.56944402,14.42895672,14.36879443,14.39834841,14.45190277,14.3079054,14.27173153
Zfp213,14.49408881,14.47771572,14.73762585,14.52015023,14.43068454,14.41148499,14.35518868,14.47234137
Hid1,14.09384153,14.21092435,14.9932248,15.01874898,14.43381818,14.43188222,14.13191614,13.96001499
Map4k2,16.97268979,16.82620745,17.19058359,17.49793035,17.31249862,17.1758272,16.26908217,16.46214904
Supv3l1,15.72555384,15.73885849,15.66960501,15.67888753,16.01803427,15.97468648,16.17953902,16.25205715
Tbc1d9b,14.51379288,14.43488884,14.40219625,14.35227085,14.26959121,14.22480269,14.30383497,14.24662409
Zfyve16,14.66654755,14.6183014,15.35318116,14.7254131,15.05829483,15.06000788,14.73073846,14.85886684
Ankrd26,12.20124771,12.31495084,12.99150463,12.82892759,12.5010842,12.52802434,12.50240096,12.4287505
Utp14b,14.07019716,14.12955021,14.30336289,14.18583149,14.03936338,14.06074781,13.9378955,13.93468936
Tagap,16.66330043,16.68410825,17.67541013,17.54911322,17.37324855,17.37324855,16.88173239,16.870245
