ID	0h.a	0h.b	2h.a	2h.b	8h.a	8h.b	16h.a	16h.b
Ccdc125	12.2081923960645	12.4551381270511	12.3637293377342	12.1563121644263	11.5188881809074	11.9362392261237	11.6666275515629	11.295283740076
Ccdc166	12.8018550542138	12.5024009634549	12.6391696137542	12.4940066146876	12.5561943055643	12.1869686364674	12.4738562505604	12.6426656043635
Ccdc174	12.5280243373852	12.4963978082652	12.1077586169238	12.2936656283092	12.5911842437847	12.3867618492814	12.6698233679347	12.7178085634525
Ccdc25	12.9017144114981	13.012743813036	12.8406403451085	12.6975989790608	12.8100961565199	12.7696927368352	12.9655406709634	12.8542062608868
Ccdc43	13.9515747748084	13.9647595617239	13.5909086062158	13.7751738626833	13.6991675687824	13.6389146322705	13.6343900607885	13.7024810529871
Ccdc64	12.8039489593261	12.6654033305441	13.257155449702	12.5943598990454	12.3200029515339	12.4472421899783	12.9054325290429	12.8839770864236
Ccdc8	15.4717990593454	15.4983869858187	15.1792955242774	15.4583135463773	15.2364115574874	15.274063052458	15.7889914964818	15.8312712575041
Ccdc82	13.0444253916882	13.0395383803168	12.5145535082351	12.6452450150763	12.6960462918445	12.7746086831812	12.8248185124278	12.4370752101617
Ccdc9	11.917662776101	11.9125627525661	11.6374934037084	11.622702503433	11.605753126658	11.6374934037084	12.5591503455383	12.1829409913349
Ccdc92	12.6722567954281	12.5062928545066	12.5408307526515	12.7117071159739	12.6489024670512	12.6873338606381	12.5437590682699	12.6873338606381
Ccdc94	15.8379866492674	15.8511031168869	15.7126815311542	15.6873079397967	15.7292278396164	15.676107887094	15.8102296110504	15.8102296110504
Ccdc97	14.6033035780941	14.582773274705	14.584172061285	14.3779943702959	14.6745266928276	14.4481302317769	14.6608711466847	14.7421743925337
Ccne1	15.2618256988989	15.28293435026	15.346906834456	15.3677810462507	15.2176716419971	15.2280675035524	15.7776374040714	15.7741741465889
Ccnl2	16.2649317869739	16.1263831003441	16.1920233816154	16.1296019770944	16.1042326895128	16.1410465872046	16.1449713026708	16.2214086643117
